id;authid;authname;surname;affilname;affiliation_city;affiliation_country;title;review;text;citedby_count;author_count;keywords;year;subjects_area;nref;review2
4;57671096800;Mukherjee A.;Mukherjee;NA;NA;NA;More Voices Persuade: The Attentional Benefits of Voice Numerosity;Journal of Marketing Research;"The authors posit that in an initial exposure to a broadcast video, hearing different voices narrate (in succession) a persuasive message encourages consumers’ attention and processing of the message, thereby facilitating persuasion; this is referred to as the voice numerosity effect. Across four studies (plus validation and replication studies)—including two large-scale, real-world data sets (with more than 11,000 crowdfunding videos and over 3.6 million customer transactions, and more than 1,600 video ads) and two controlled experiments (with over 1,800 participants)—the results provide support for the hypothesized effect. The effect (1) has consequential, economic implications in a real-world marketplace, (2) is more pronounced when the message is easier to comprehend, (3) is more pronounced when consumers have the capacity to process the ad message, and (4) is mediated by the favorability of consumers’ cognitive responses. The authors demonstrate the use of machine learning, text mining, and natural language processing to process and analyze unstructured (multimedia) data. Theoretical and marketing implications are discussed.";0;3;advertising | crowdfunding | marketing communications | persuasion | sensory marketing | videos | voice | voice numerosity;2023;Business and International Management | Economics and Econometrics | Marketing;111;Journal of Marketing Research
4;7202920671;Chattopadhyay A.;Chattopadhyay;NA;NA;NA;More Voices Persuade: The Attentional Benefits of Voice Numerosity;Journal of Marketing Research;"The authors posit that in an initial exposure to a broadcast video, hearing different voices narrate (in succession) a persuasive message encourages consumers’ attention and processing of the message, thereby facilitating persuasion; this is referred to as the voice numerosity effect. Across four studies (plus validation and replication studies)—including two large-scale, real-world data sets (with more than 11,000 crowdfunding videos and over 3.6 million customer transactions, and more than 1,600 video ads) and two controlled experiments (with over 1,800 participants)—the results provide support for the hypothesized effect. The effect (1) has consequential, economic implications in a real-world marketplace, (2) is more pronounced when the message is easier to comprehend, (3) is more pronounced when consumers have the capacity to process the ad message, and (4) is mediated by the favorability of consumers’ cognitive responses. The authors demonstrate the use of machine learning, text mining, and natural language processing to process and analyze unstructured (multimedia) data. Theoretical and marketing implications are discussed.";0;3;advertising | crowdfunding | marketing communications | persuasion | sensory marketing | videos | voice | voice numerosity;2023;Business and International Management | Economics and Econometrics | Marketing;111;Journal of Marketing Research
5;58237380000;Dobrucalı Yelkenci B.;Dobrucalı Yelkenci;Izmir Ekonomi Universitesi;Izmir;Turkey;Online complaint handling: a text analytics-based classification framework;Marketing Intelligence and Planning;Purpose: This study aims to both identify content-based and interaction-based online consumer complaint types and predict complaint types according to the complaint magnitude rooted in complainants' personality traits, emotion, Twitter usage activity, as well as complaint's sentiment polarity, and interaction rate. Design/methodology/approach: In total, 297,000 complaint tweets were collected from Twitter, featuring over 220,000 consumer profiles and over 24 million user tweets. The obtained data were analyzed via two-step machine learning approach. Findings: This study proposes a set of content and profile features that can be employed for determining complaint types and reveals the relationship between content features, profile features and online complaint type. Originality/value: This study proposes a novel model for identifying types of online complaints, offering a set of content and profile features that can be used for predicting complaint type, and therefore introduces a flexible approach for enhancing online complaint management.;0;3;Complaint handling | Machine learning | Social CRM | Text analytics | Twitter;2023;Marketing;49;Marketing Intelligence and Planning
5;35218139100;Özdağoğlu G.;Özdağoğlu;Dokuz Eylül Üniversitesi;Izmir;Turkey;Online complaint handling: a text analytics-based classification framework;Marketing Intelligence and Planning;Purpose: This study aims to both identify content-based and interaction-based online consumer complaint types and predict complaint types according to the complaint magnitude rooted in complainants' personality traits, emotion, Twitter usage activity, as well as complaint's sentiment polarity, and interaction rate. Design/methodology/approach: In total, 297,000 complaint tweets were collected from Twitter, featuring over 220,000 consumer profiles and over 24 million user tweets. The obtained data were analyzed via two-step machine learning approach. Findings: This study proposes a set of content and profile features that can be employed for determining complaint types and reveals the relationship between content features, profile features and online complaint type. Originality/value: This study proposes a novel model for identifying types of online complaints, offering a set of content and profile features that can be used for predicting complaint type, and therefore introduces a flexible approach for enhancing online complaint management.;0;3;Complaint handling | Machine learning | Social CRM | Text analytics | Twitter;2023;Marketing;49;Marketing Intelligence and Planning
5;55054404600;İlter B.;İlter;Dokuz Eylül Üniversitesi;Izmir;Turkey;Online complaint handling: a text analytics-based classification framework;Marketing Intelligence and Planning;Purpose: This study aims to both identify content-based and interaction-based online consumer complaint types and predict complaint types according to the complaint magnitude rooted in complainants' personality traits, emotion, Twitter usage activity, as well as complaint's sentiment polarity, and interaction rate. Design/methodology/approach: In total, 297,000 complaint tweets were collected from Twitter, featuring over 220,000 consumer profiles and over 24 million user tweets. The obtained data were analyzed via two-step machine learning approach. Findings: This study proposes a set of content and profile features that can be employed for determining complaint types and reveals the relationship between content features, profile features and online complaint type. Originality/value: This study proposes a novel model for identifying types of online complaints, offering a set of content and profile features that can be used for predicting complaint type, and therefore introduces a flexible approach for enhancing online complaint management.;0;3;Complaint handling | Machine learning | Social CRM | Text analytics | Twitter;2023;Marketing;49;Marketing Intelligence and Planning
6;58369898400;Kumar A.;Kumar;Indian Institute of Management Ranchi;Ranchi;India;Text mining approach to explore determinants of grocery mobile app satisfaction using online customer reviews;Journal of Retailing and Consumer Services;In recent years, there has been proliferation of grocery mobile apps as grocery shopping on mobile has found increasing acceptance among customers accelerated by multiple factors. Maintaining high level of customer satisfaction is important for grocery mobile apps in the highly competitive app market. Online reviews have been a rich source of information to analyze customer satisfaction with a product or service. This paper explores the determinants of customer satisfaction for grocery mobile apps using online reviews. Latent Dirichlet Analysis (LDA), which is a text mining technique, is used to analyze online customer reviews of 27,337 customers to identify determinants of customer satisfaction. The determinants identified were further analyzed using a series of analysis to understand the importance of each determinant. Dominance analysis examined the relative importance of the determinants of customer satisfaction based on the overall rating. Correspondence analysis identified determinants which cause satisfaction separately from the determinants which cause dissatisfaction. The results from this study will provide insights to business managers of grocery mobile apps for decision-making on customer satisfaction management.;0;3;Customer satisfaction | Grocery mobile apps | Online customer reviews | Text mining | Topic modelling;2023;Marketing;119;Journal of Retailing and Consumer Services
6;8953044400;Chakraborty S.;Chakraborty;Indian Institute of Management Ranchi;Ranchi;India;Text mining approach to explore determinants of grocery mobile app satisfaction using online customer reviews;Journal of Retailing and Consumer Services;In recent years, there has been proliferation of grocery mobile apps as grocery shopping on mobile has found increasing acceptance among customers accelerated by multiple factors. Maintaining high level of customer satisfaction is important for grocery mobile apps in the highly competitive app market. Online reviews have been a rich source of information to analyze customer satisfaction with a product or service. This paper explores the determinants of customer satisfaction for grocery mobile apps using online reviews. Latent Dirichlet Analysis (LDA), which is a text mining technique, is used to analyze online customer reviews of 27,337 customers to identify determinants of customer satisfaction. The determinants identified were further analyzed using a series of analysis to understand the importance of each determinant. Dominance analysis examined the relative importance of the determinants of customer satisfaction based on the overall rating. Correspondence analysis identified determinants which cause satisfaction separately from the determinants which cause dissatisfaction. The results from this study will provide insights to business managers of grocery mobile apps for decision-making on customer satisfaction management.;0;3;Customer satisfaction | Grocery mobile apps | Online customer reviews | Text mining | Topic modelling;2023;Marketing;119;Journal of Retailing and Consumer Services
6;26639138400;Bala P.K.;Bala;Indian Institute of Management Ranchi;Ranchi;India;Text mining approach to explore determinants of grocery mobile app satisfaction using online customer reviews;Journal of Retailing and Consumer Services;In recent years, there has been proliferation of grocery mobile apps as grocery shopping on mobile has found increasing acceptance among customers accelerated by multiple factors. Maintaining high level of customer satisfaction is important for grocery mobile apps in the highly competitive app market. Online reviews have been a rich source of information to analyze customer satisfaction with a product or service. This paper explores the determinants of customer satisfaction for grocery mobile apps using online reviews. Latent Dirichlet Analysis (LDA), which is a text mining technique, is used to analyze online customer reviews of 27,337 customers to identify determinants of customer satisfaction. The determinants identified were further analyzed using a series of analysis to understand the importance of each determinant. Dominance analysis examined the relative importance of the determinants of customer satisfaction based on the overall rating. Correspondence analysis identified determinants which cause satisfaction separately from the determinants which cause dissatisfaction. The results from this study will provide insights to business managers of grocery mobile apps for decision-making on customer satisfaction management.;0;3;Customer satisfaction | Grocery mobile apps | Online customer reviews | Text mining | Topic modelling;2023;Marketing;119;Journal of Retailing and Consumer Services
7;53164463000;Nilashi M.;Nilashi;UCSI University;Kuala Lumpur;Malaysia;Analysis of customers' satisfaction with baby products: The moderating role of brand image;Journal of Retailing and Consumer Services;The previous experience of customers is assessed by textual reviews and ratings to reflect their levels of satisfaction with the service or product. Online reviews and ratings have played a vital role to assess the performance of the services or the quality of goods. This research explores customers' levels of satisfaction with baby products on Amazon.com through text mining and survey-based methodologies. The moderating role of a brand image is also investigated on the relationship between customers' satisfaction and recommendations to others. Two sources of data were utilized, online reviews from the Amazon portal and responses of the participants on a large-scale survey. The research model is developed based on the factors that were extracted from the text mining approach. Following that, a questionnaire was distributed and the collected data were inspected using Partial Least Squares Structural Equations Modeling (PLS-SEM). The findings revealed that several dimensions have an influential effect on customers' experiences with baby products, among which are comfortableness, material quality, easy use, easy return, design, price, packaging, and size information. In addition, the moderating influence of the brand image on the hypothesis between customers' satisfaction and recommendations to others was significant. By deploying the two-phase methodology, baby product vendors can understand the influential variables in customers' experiences and their impacts on customers’ satisfaction more accurately.;0;6;Analytic approach | Baby product | Brand image | Machine learning | Satisfaction;2023;Marketing;172;Journal of Retailing and Consumer Services
7;57192708131;Abumalloh R.A.;Abumalloh;Qatar University;Doha;Qatar;Analysis of customers' satisfaction with baby products: The moderating role of brand image;Journal of Retailing and Consumer Services;The previous experience of customers is assessed by textual reviews and ratings to reflect their levels of satisfaction with the service or product. Online reviews and ratings have played a vital role to assess the performance of the services or the quality of goods. This research explores customers' levels of satisfaction with baby products on Amazon.com through text mining and survey-based methodologies. The moderating role of a brand image is also investigated on the relationship between customers' satisfaction and recommendations to others. Two sources of data were utilized, online reviews from the Amazon portal and responses of the participants on a large-scale survey. The research model is developed based on the factors that were extracted from the text mining approach. Following that, a questionnaire was distributed and the collected data were inspected using Partial Least Squares Structural Equations Modeling (PLS-SEM). The findings revealed that several dimensions have an influential effect on customers' experiences with baby products, among which are comfortableness, material quality, easy use, easy return, design, price, packaging, and size information. In addition, the moderating influence of the brand image on the hypothesis between customers' satisfaction and recommendations to others was significant. By deploying the two-phase methodology, baby product vendors can understand the influential variables in customers' experiences and their impacts on customers’ satisfaction more accurately.;0;6;Analytic approach | Baby product | Brand image | Machine learning | Satisfaction;2023;Marketing;172;Journal of Retailing and Consumer Services
7;36083232600;Samad S.;Samad;Princess Nourah Bint Abdulrahman University;Riyadh;Saudi Arabia;Analysis of customers' satisfaction with baby products: The moderating role of brand image;Journal of Retailing and Consumer Services;The previous experience of customers is assessed by textual reviews and ratings to reflect their levels of satisfaction with the service or product. Online reviews and ratings have played a vital role to assess the performance of the services or the quality of goods. This research explores customers' levels of satisfaction with baby products on Amazon.com through text mining and survey-based methodologies. The moderating role of a brand image is also investigated on the relationship between customers' satisfaction and recommendations to others. Two sources of data were utilized, online reviews from the Amazon portal and responses of the participants on a large-scale survey. The research model is developed based on the factors that were extracted from the text mining approach. Following that, a questionnaire was distributed and the collected data were inspected using Partial Least Squares Structural Equations Modeling (PLS-SEM). The findings revealed that several dimensions have an influential effect on customers' experiences with baby products, among which are comfortableness, material quality, easy use, easy return, design, price, packaging, and size information. In addition, the moderating influence of the brand image on the hypothesis between customers' satisfaction and recommendations to others was significant. By deploying the two-phase methodology, baby product vendors can understand the influential variables in customers' experiences and their impacts on customers’ satisfaction more accurately.;0;6;Analytic approach | Baby product | Brand image | Machine learning | Satisfaction;2023;Marketing;172;Journal of Retailing and Consumer Services
7;57203188500;Alrizq M.;Alrizq;Najran University;Najran;Saudi Arabia;Analysis of customers' satisfaction with baby products: The moderating role of brand image;Journal of Retailing and Consumer Services;The previous experience of customers is assessed by textual reviews and ratings to reflect their levels of satisfaction with the service or product. Online reviews and ratings have played a vital role to assess the performance of the services or the quality of goods. This research explores customers' levels of satisfaction with baby products on Amazon.com through text mining and survey-based methodologies. The moderating role of a brand image is also investigated on the relationship between customers' satisfaction and recommendations to others. Two sources of data were utilized, online reviews from the Amazon portal and responses of the participants on a large-scale survey. The research model is developed based on the factors that were extracted from the text mining approach. Following that, a questionnaire was distributed and the collected data were inspected using Partial Least Squares Structural Equations Modeling (PLS-SEM). The findings revealed that several dimensions have an influential effect on customers' experiences with baby products, among which are comfortableness, material quality, easy use, easy return, design, price, packaging, and size information. In addition, the moderating influence of the brand image on the hypothesis between customers' satisfaction and recommendations to others was significant. By deploying the two-phase methodology, baby product vendors can understand the influential variables in customers' experiences and their impacts on customers’ satisfaction more accurately.;0;6;Analytic approach | Baby product | Brand image | Machine learning | Satisfaction;2023;Marketing;172;Journal of Retailing and Consumer Services
7;57897891500;Alyami S.;Alyami;Najran University;Najran;Saudi Arabia;Analysis of customers' satisfaction with baby products: The moderating role of brand image;Journal of Retailing and Consumer Services;The previous experience of customers is assessed by textual reviews and ratings to reflect their levels of satisfaction with the service or product. Online reviews and ratings have played a vital role to assess the performance of the services or the quality of goods. This research explores customers' levels of satisfaction with baby products on Amazon.com through text mining and survey-based methodologies. The moderating role of a brand image is also investigated on the relationship between customers' satisfaction and recommendations to others. Two sources of data were utilized, online reviews from the Amazon portal and responses of the participants on a large-scale survey. The research model is developed based on the factors that were extracted from the text mining approach. Following that, a questionnaire was distributed and the collected data were inspected using Partial Least Squares Structural Equations Modeling (PLS-SEM). The findings revealed that several dimensions have an influential effect on customers' experiences with baby products, among which are comfortableness, material quality, easy use, easy return, design, price, packaging, and size information. In addition, the moderating influence of the brand image on the hypothesis between customers' satisfaction and recommendations to others was significant. By deploying the two-phase methodology, baby product vendors can understand the influential variables in customers' experiences and their impacts on customers’ satisfaction more accurately.;0;6;Analytic approach | Baby product | Brand image | Machine learning | Satisfaction;2023;Marketing;172;Journal of Retailing and Consumer Services
7;36611248100;Alghamdi A.;Alghamdi;Najran University;Najran;Saudi Arabia;Analysis of customers' satisfaction with baby products: The moderating role of brand image;Journal of Retailing and Consumer Services;The previous experience of customers is assessed by textual reviews and ratings to reflect their levels of satisfaction with the service or product. Online reviews and ratings have played a vital role to assess the performance of the services or the quality of goods. This research explores customers' levels of satisfaction with baby products on Amazon.com through text mining and survey-based methodologies. The moderating role of a brand image is also investigated on the relationship between customers' satisfaction and recommendations to others. Two sources of data were utilized, online reviews from the Amazon portal and responses of the participants on a large-scale survey. The research model is developed based on the factors that were extracted from the text mining approach. Following that, a questionnaire was distributed and the collected data were inspected using Partial Least Squares Structural Equations Modeling (PLS-SEM). The findings revealed that several dimensions have an influential effect on customers' experiences with baby products, among which are comfortableness, material quality, easy use, easy return, design, price, packaging, and size information. In addition, the moderating influence of the brand image on the hypothesis between customers' satisfaction and recommendations to others was significant. By deploying the two-phase methodology, baby product vendors can understand the influential variables in customers' experiences and their impacts on customers’ satisfaction more accurately.;0;6;Analytic approach | Baby product | Brand image | Machine learning | Satisfaction;2023;Marketing;172;Journal of Retailing and Consumer Services
8;57189343074;Sun B.;Sun;Harbin Engineering University;Harbin;China;How online reviews with different influencing factors affect the diffusion of new products;International Journal of Consumer Studies;Online reviews are becoming increasingly important for the diffusion of new products. Based on the content of online reviews on JD.com, the study utilizes the Latent Allocation model to identify the critical factors of interest to consumers and categorized them into two categories, namely, product quality and supporting service factors. Thereafter, we use the system generalized method of moments to analyse the dynamic model of the panel data and further study the relationship between online reviews and new product diffusion under the two types of factors. We further investigate how the interaction between the critical metrics of online reviews affects the diffusion of new products. The results indicate that as various factors are considered, online reviews have a significantly different impact on the diffusion of new products. Moreover, compared with supporting service factors, online reviews of product quality factors have a more significant impact. In addition, the interactions between online review metrics demonstrate complex characteristics, especially the volume and positive emotional tendency, which does not promote new product diffusion, as expected.;0;3;interaction effect | Latent Dirichlet Allocation model | new product diffusion | online reviews | text mining;2023;Applied Psychology | Economics and Econometrics | Public Health, Environmental and Occupational Health | Marketing;135;International Journal of Consumer Studies
8;57209139855;Kang M.;Kang;Harbin Engineering University;Harbin;China;How online reviews with different influencing factors affect the diffusion of new products;International Journal of Consumer Studies;Online reviews are becoming increasingly important for the diffusion of new products. Based on the content of online reviews on JD.com, the study utilizes the Latent Allocation model to identify the critical factors of interest to consumers and categorized them into two categories, namely, product quality and supporting service factors. Thereafter, we use the system generalized method of moments to analyse the dynamic model of the panel data and further study the relationship between online reviews and new product diffusion under the two types of factors. We further investigate how the interaction between the critical metrics of online reviews affects the diffusion of new products. The results indicate that as various factors are considered, online reviews have a significantly different impact on the diffusion of new products. Moreover, compared with supporting service factors, online reviews of product quality factors have a more significant impact. In addition, the interactions between online review metrics demonstrate complex characteristics, especially the volume and positive emotional tendency, which does not promote new product diffusion, as expected.;0;3;interaction effect | Latent Dirichlet Allocation model | new product diffusion | online reviews | text mining;2023;Applied Psychology | Economics and Econometrics | Public Health, Environmental and Occupational Health | Marketing;135;International Journal of Consumer Studies
8;58143187700;Zhao S.;Zhao;Harbin Engineering University;Harbin;China;How online reviews with different influencing factors affect the diffusion of new products;International Journal of Consumer Studies;Online reviews are becoming increasingly important for the diffusion of new products. Based on the content of online reviews on JD.com, the study utilizes the Latent Allocation model to identify the critical factors of interest to consumers and categorized them into two categories, namely, product quality and supporting service factors. Thereafter, we use the system generalized method of moments to analyse the dynamic model of the panel data and further study the relationship between online reviews and new product diffusion under the two types of factors. We further investigate how the interaction between the critical metrics of online reviews affects the diffusion of new products. The results indicate that as various factors are considered, online reviews have a significantly different impact on the diffusion of new products. Moreover, compared with supporting service factors, online reviews of product quality factors have a more significant impact. In addition, the interactions between online review metrics demonstrate complex characteristics, especially the volume and positive emotional tendency, which does not promote new product diffusion, as expected.;0;3;interaction effect | Latent Dirichlet Allocation model | new product diffusion | online reviews | text mining;2023;Applied Psychology | Economics and Econometrics | Public Health, Environmental and Occupational Health | Marketing;135;International Journal of Consumer Studies
