"";"X";"entry_number";"X._fa";"prism.url";"dc.identifier";"eid";"dc.title";"dc.creator";"prism.publicationName";"prism.issn";"prism.volume";"prism.coverDate";"prism.coverDisplayDate";"prism.doi";"pii";"dc.description";"citedby_count";"prism.aggregationType";"subtype";"subtypeDescription";"author_count..limit";"author_count..total";"author_count..";"authkeywords";"article_number";"source_id";"fund_acr";"fund_no";"fund_sponsor";"openaccess";"openaccessFlag";"prism.eIssn";"prism.issueIdentifier";"prism.pageRange";"freetoread.value..";"freetoreadLabel.value..";"year"
"107";107;107;"true";"https://api.elsevier.com/content/abstract/scopus_id/85146879074";"SCOPUS_ID:85146879074";"2-s2.0-85146879074";"Structural review of relics tourism by text mining and machine learning";"Das S.";"Journal of Tourism, Heritage and Services Marketing";NA;"8";"2022-01-01";"2022";"10.5281/zenodo.7358349";NA;"Purpose: The objective of the paper is to find trends of research in relic tourism-related topics. Specifically, this paper uncovers all published studies having latent issues with the keywords “relic tourism” from the Web of Science database. Methods: A total of 109 published articles (2002-2021) were collected related to “relic tourism.” Machine learning tools were applied. Network analysis was used to highlight top researchers in this field, their citations, keyword clusters, and collaborative networks. Text analysis and Bidirectional Encoder Representation from Transformer (BERT) of artificial intelligence model were used to predict text or keyword-based topic reference in machine learning. Results: All the papers are published basically on three primary keywords such as “relics,” “culture,” and “heritage.” Secondary keywords like “protection” and “development” also attract researchers to research this topic. The co-author network is highly significant for diverse authors, and geographically researchers from five countries are collaborating more on this topic. Implications: Academically, future research can be predicated with dense keywords. Journals can bring more special issues related to the topic as relic tourism still has some unexplored areas.";2;"Journal";"ar";"Article";100;4;4;"artificial intelligence | machine learning | relic tourism | Text analysis | topic modelling";NA;21101061456;NA;"undefined";NA;0;FALSE;"25291947";"2";"25-34";NA;NA;2022
"108";108;108;"true";"https://api.elsevier.com/content/abstract/scopus_id/85145840941";"SCOPUS_ID:85145840941";"2-s2.0-85145840941";"Sustainability in luxury: insights from Twitter activities";"Klaus P.";"Journal of Strategic Marketing";"0965254X";NA;"2022-01-01";"2022";"10.1080/0965254X.2022.2160874";NA;"Sustainability presents one of the most pressing challenges across different industries, especially for luxury brands. This study reveals the role of sustainability in luxury consumption by collecting and analyzing data from over half a million Tweets with 762 sustainability luxury consumption hashtags. Sustainability’s importance in online discussion is steadily increasing. Using balance theory, we combined sentiment and text mining to decrypt and reveal online audience’s perceptions of sustainable luxury. The findings highlight what online public considers sustainable, the importance of these perceptions for specific sectors of the luxury industry, and which emotions sustainable luxury perceptions trigger. We reveal online audience’s sentiments in the form of opinions, evaluations, and emotions toward sustainable luxury. This research serves as a critical exploration of the much-needed alignment between luxury and sustainability. This work aids not only scholars but also luxury brand managers in their aim to comprehend and keep pace with the increasing importance of sustainability in the luxury sector.";0;"Journal";"ar";"Article";100;3;3;"experience | luxury | perceptions | sentiment analysis | Sustainability | text analytics";NA;17900156718;NA;"undefined";NA;0;FALSE;"14664488";NA;NA;NA;NA;2022
"109";109;109;"true";"https://api.elsevier.com/content/abstract/scopus_id/85144503436";"SCOPUS_ID:85144503436";"2-s2.0-85144503436";"Co-branding strategies in luxury fashion: the Off-White case";"Murtas G.";"Journal of Strategic Marketing";"0965254X";NA;"2022-01-01";"2022";"10.1080/0965254X.2022.2160484";NA;"Increasing competition has induced brands to find ever more innovative ways to raise awareness. Among the latter, co-branding has recently become pervasive in the luxury fashion sector. Despite the growing interest in co-branding, no study to date has examined how luxury fashion brands can strategically combine different types of co-branding and the amount of media visibility that they can gain by means of these brand alliances. Drawing on both case study analysis and automated text analysis, this paper on the longitudinal case of the luxury fashion brand Off-White offers important managerial implication. It shows that, to create a successful co-branding portfolio, luxury brands should initially collaborate with renowned brands in the same target market, and only later with brands operating in other sectors. This study also reports empirical findings with which to understand what are the most suitable forms of co-branding to pursue to increase media visibility and consumers’ engagement in social media.";0;"Journal";"ar";"Article";100;4;4;"co-branding | collaborations | fashion | Luxury | luxury brands";NA;17900156718;NA;"undefined";NA;0;FALSE;"14664488";NA;NA;NA;NA;2022
"110";110;110;"true";"https://api.elsevier.com/content/abstract/scopus_id/85144463165";"SCOPUS_ID:85144463165";"2-s2.0-85144463165";"Tighter nets for smaller fishes? Mapping the development of statistical practices in consumer research between 2008 and 2020";"Krefeld-Schwalb A.";"Marketing Letters";"09230645";NA;"2022-01-01";"2022";"10.1007/s11002-022-09662-3";NA;"During the last decade, confidence in many social sciences, including consumer research, has been undermined by doubts about the replicability of empirical research findings. These doubts have led to increased calls to improve research practices and adopt new measures to increase the replicability of published work from various stakeholders such as funding agencies, journals, and scholars themselves. Despite these demands, it is unclear to which the research published in the leading consumer research journals has adhered to these calls for change. This article provides the first systematic empirical analysis of this question by surveying three crucial statistics of published consumer research over time: sample sizes, effect sizes, and the distribution of published p values. The authors compile a hand-coded sample of N = 258 articles published between 2008 and 2020 in the Journal of Consumer Psychology, the Journal of Consumer Research, and the Journal of Marketing Research. An automated text analysis across all publications in these three journals corroborates the representativeness of the hand-coded sample. Results reveal a substantial increase in sample sizes above and beyond the use of online samples along with a decrease in reported effect sizes. Effect and samples sizes are highly correlated which at least partially explains the reduction in reported effect sizes.";0;"Journal";"ar";"Article";100;2;2;"Experimental research methods | False-positive results | Review";NA;23687;"SNF";"172806";"Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung";0;FALSE;"1573059X";NA;NA;NA;NA;2022
"111";111;111;"true";"https://api.elsevier.com/content/abstract/scopus_id/85142372695";"SCOPUS_ID:85142372695";"2-s2.0-85142372695";"Image Captioning using Pretrained Language Models and Image Segmentation";"Bianco S.";"IEEE International Conference on Consumer Electronics - Berlin, ICCE-Berlin";"21666814";"2022-September";"2022-01-01";"2022";"10.1109/ICCE-Berlin56473.2022.9937098";NA;"Large-scale pre-trained language models, which have learned cross-modal representations on image-text pairs, are becoming popular for vision-language tasks because the fine-tuning to a specific task enables state-of-the-art results. Existing methods require features of image regions as input, but these regions are extracted with an object detection model that does not handle overlapping, noisy and ambiguous regions; this inevitably results in less meaningful features. In this paper we propose a new way to extract region features based on image segmentation, with the goal of reducing overlapping and noise. Our method is motivated by the observation that image segmentation can remove useless pixels using the binary mask to extract only the object of interest.";0;"Conference Proceeding";"cp";"Conference Paper";100;3;3;"Computer Vision | Image Captioning | Image Segmentation | Large-scale Language Model | Natural Language Processing";NA;21100223125;NA;"undefined";NA;0;FALSE;"21666822";NA;NA;NA;NA;2022
"112";112;112;"true";"https://api.elsevier.com/content/abstract/scopus_id/85139115612";"SCOPUS_ID:85139115612";"2-s2.0-85139115612";"A review of social roles in green consumer behaviour";"Xiao J.";"International Journal of Consumer Studies";"14706423";NA;"2022-01-01";"2022";"10.1111/ijcs.12865";NA;"Despite the broad interest and rapid increase in studying green consumer behaviour (GCB) from a social perspective, related articles have been presented in a piecemeal fashion and have lacked a review of social roles in GCB. Additionally, the research focus may differ from the influence of digital technology. Therefore, this study draws on a review of 439 GCB articles that focus on social roles and utilizes both quantitative and qualitative analyses to provide a general picture of theories, social factors, research topics and topic trends with a specific emphasis on the research differences between the traditional and digital contexts. The findings indicate that the GCB field has experienced exponential growth since 2014. Subjective norms, social influence, culture, marketing influence and social media influence are the main drivers of GCB. Eight research topics are identified, among which topics on the theory of planned behaviour (TPB) and the theory of consumption values (TCV) maintained high popularity. Furthermore, the TPB is more prevalent in the traditional context in which scholars prefer to predict GCB using macrosocial factors, such as policy and culture. In comparison, signal theory and commitment-trust theory have received more attention in the digital context in which trust is vital. Research interests in online platforms and green hotels have recently increased in the digital context. Gaps and suggested directions for future studies are further identified.";1;"Journal";"re";"Review";100;4;4;"bibliometric analysis | content analysis | green consumer behaviour | social roles | text mining | traditional versus digital contexts";NA;5700167235;"KAKEN";"16H02034";"Japan Society for the Promotion of Science";0;FALSE;"14706431";NA;NA;NA;NA;2022
"113";113;113;"true";"https://api.elsevier.com/content/abstract/scopus_id/85138704935";"SCOPUS_ID:85138704935";"2-s2.0-85138704935";"Comparison of Statistical Algorithms and Deep Learning for Slovak Document Classification";"Hladek D.";"Proceedings - 2022 IEEE International Conference on Consumer Electronics - Taiwan, ICCE-Taiwan 2022";NA;NA;"2022-01-01";"2022";"10.1109/ICCE-Taiwan55306.2022.9869155";NA;"This paper compares the statistical classification methods with deep learning methods for the document classification for documents in the Slovak language. The experiments evaluate the classification accuracy and times of execution. This study can help with selecting a natural language processing system for the Slovak language for devices with constrained memory and computational capabilities, especially cell phones. The classification algorithms are not constrained to Slovak languages. Adaptation of the algorithms to other languages requires only small adjustments.";0;"Conference Proceeding";"cp";"Conference Paper";100;4;4;NA;NA;21101109728;"SAV";"111-2927-I-031-501";"Slovenská Akadémia Vied";0;FALSE;NA;NA;"15-16";NA;NA;2022
"114";114;114;"true";"https://api.elsevier.com/content/abstract/scopus_id/85138688254";"SCOPUS_ID:85138688254";"2-s2.0-85138688254";"On Multimodal Semantic Consistency Detection of News Articles with Image Caption Pairs";"Chen Y.";"Proceedings - 2022 IEEE International Conference on Consumer Electronics - Taiwan, ICCE-Taiwan 2022";NA;NA;"2022-01-01";"2022";"10.1109/ICCE-Taiwan55306.2022.9869252";NA;"Recently multi-modal consistency detection has been proposed as method to combat disinformation. However, state-of-the-art methods lack the fine grained localized evidence needed for consistency detection. Current methods also struggle on longer texts that are present in news articles. We propose an ensemble method that combines a series of visual detectors and BERT based NLP models to compute consistency between modalities. The proposed method is effective in both detecting the standard image-caption pairs and news articles containing multiple paragraphs. Our method can localize and provide fined grained evidence towards its given responses. We evaluate our method on a MSCOCO image-caption subset and image & text inconsistency evaluation of news articles from the U.S. DARPA SemaFor program. We achieved an 83% AUC on the gathered MSCOCO dataset, which shows the effectiveness of our method.";1;"Conference Proceeding";"cp";"Conference Paper";100;2;2;NA;NA;21101109728;"DARPA";"HR001120C0123";"Defense Advanced Research Projects Agency";0;FALSE;NA;NA;"355-356";NA;NA;2022
"115";115;115;"true";"https://api.elsevier.com/content/abstract/scopus_id/85138684672";"SCOPUS_ID:85138684672";"2-s2.0-85138684672";"Writing More Compelling Creative Appeals: A Deep Learning-Based Approach";"Hong J.";"Marketing Science";"07322399";"41";"2022-01-01";"2022";"10.1287/mksc.2022.1351";NA;"We present a deep learning algorithm to provide personalized feedback on creative appeals, written content intended to persuade readers to undertake some action. Such appeals are widespread in marketing, including advertising copy, RFP responses, call center scripts, product descriptions, and many others. Although marketing research has produced several tools to help managers glean insights from online word-of-mouth, less attention has been paid to creating tools to assist the innumerable marketers responsible for crafting effective marketing messages. Our approach leverages the hierarchical structure of written works, associating words with sentences and sentences with documents, and the linguistic relationships developed therein. We score each sentence in an appeal by its expected contribution to success accounting for its substance and persuasive impact. The sentences with the lowest scores make the appeal less compelling and are the most effective points to focus a revision. The approach has proved effective in a randomized control trial, with subjects rating essays revised with the aid of algorithmic feedback as being 4.5% more likely to achieve their objec-tives. In addition to providing automated feedback to authors, we leverage the model’s output to derive substantive insights into what makes an appeal compelling.";2;"Journal";"ar";"Article";100;2;2;"creative appeals | deep learning | natural language processing | recurrent neural networks";NA;23714;"WARF";"MSN226806";"Wisconsin Alumni Research Foundation";0;FALSE;"1526548X";"5";"513-537";NA;NA;2022
"116";116;116;"true";"https://api.elsevier.com/content/abstract/scopus_id/85136591503";"SCOPUS_ID:85136591503";"2-s2.0-85136591503";"Psycho-managerial text mining (PMTM): a framework for developing and validating psychological/managerial constructs from a theory/text-driven approach";"Pérez Rave J.I.";"Journal of Marketing Analytics";"20503318";NA;"2022-01-01";"2022";"10.1057/s41270-022-00181-8";NA;"This paper addresses two concerns in the construction and validation of psychological/managerial constructs from texts: (1) The procedure for studying content validity is mainly based on human tasks, subjectivity, limited to small data, and difficult to reproduce/replicate; (2) Traditional latent variable representation (a merged list or random parcel of words) lacks theoretical rationality and does not guarantee the representativity of valuable qualities, perceptual entities, and actions of the construct. The paper proposes a framework—PMTM—for developing/validating measures of psychological/managerial constructs from texts (three stages and 16 steps) by incorporating linguistic, psychometrical, and computational resources. PMTM includes five new properties to guide content validity analysis automatically, and contains a new method for refining dictionaries, entitled “embedded voting,” which emulates expert judgments. In addition, the paper provides empirical evidence derived from the application of PMTM to the case of transformational leadership using data from organizational documents, interviews, essays, blog posts, surveys, and speeches by former US presidents. The framework can also be used as a comprehensive template with the potential to exploit customer/service texts from a theory/text-driven approach to overcome recent challenges stated by the marketing literature, including the lack of standardization and inconsistency in the definitions and measurement of marketing constructs.";0;"Journal";"ar";"Article";100;3;3;"Automated dictionary creation | Constructs analysis | Text analytics | Text mining | Theory/text-driven approach | Transformational leadership";NA;21100834347;NA;"undefined";NA;0;FALSE;"20503326";NA;NA;NA;NA;2022
"117";117;117;"true";"https://api.elsevier.com/content/abstract/scopus_id/85136515369";"SCOPUS_ID:85136515369";"2-s2.0-85136515369";"Communication during pandemic: who should tweet about COVID and how?";"Yao A.";"Journal of Strategic Marketing";"0965254X";NA;"2022-01-01";"2022";"10.1080/0965254X.2022.2113911";NA;"The COVID-19 pandemic has devastated the health and wealth of individuals and economies. Firms have lost businesses while people have lost their jobs and even lives because of the pandemic. Hence, it is critical to understand whether and how firms should communicate with their consumers. The author analyzes social media tweets from 35 major car companies for 21 months during the pandemic, and detects different COVID-tweeting effects between luxury and non-luxury brands. While firms often spend much effort providing COVID-19 related information during pandemic, this paper finds that tweeting about COVID-19 (relative to other content) generally hurts consumer engagement (i.e. decreases retweets). Interestingly, this negative effect is moderated if tweets are posted by luxury firms (vs. non-luxury firms). Last, if firms tweet about COVID-19, they should focus more on stakeholders, such as consumers and employees in their tweets. The author generates implications for social media strategies during tremendous uncertainty and crisis periods.";2;"Journal";"ar";"Article";100;1;1;"consumer engagement | covid-19 | luxury brand | Marketing communication | text analysis | twitter";NA;17900156718;NA;"undefined";NA;0;FALSE;"14664488";NA;NA;NA;NA;2022
"118";118;118;"true";"https://api.elsevier.com/content/abstract/scopus_id/85136458993";"SCOPUS_ID:85136458993";"2-s2.0-85136458993";"More than words can say: a multimodal approach to understanding meaning and sentiment in social media";"Mehmet M.I.";"Journal of Marketing Management";"0267257X";"38";"2022-01-01";"2022";"10.1080/0267257X.2022.2105933";NA;"The authors develop a multimodal social listening analysis (MSLA) approach as a framework for managers to understand how meaning is constructed in social media posts using both text and other media. The research adds to AI and text analysis approaches by considering the whole meaning of a post rather than an analysis of subsets of information in text and other media. The use of MSLA is validated across the social media platforms of Facebook, Twitter and Instagram. The findings show that MSLA helps (i) reveal structures in what appear to be unstructured multimodal posts; (ii) identify all the sentiment items in a post; (iii) identify implicit meanings, such as irony, humour and sarcasm; and (iv) further identify emotions and judgements in multimodal communication. Importantly, this paper explains how decisions and opinions are made online and how marketing strategies can be tailored towards meanings derived from multimodal communication in social media.";0;"Journal";"ar";"Article";100;2;2;"consumer sentiment | inter-coder reliability | Multimodal social listening | qualitative research | social media | social networking";NA;19700187623;NA;"undefined";NA;0;FALSE;"14721376";"13-14";"1461-1493";NA;NA;2022
"119";119;119;"true";"https://api.elsevier.com/content/abstract/scopus_id/85136435221";"SCOPUS_ID:85136435221";"2-s2.0-85136435221";"A study of media texts in the Slovak language";"Stupavsky G.I.";"2022 IEEE Zooming Innovation in Consumer Technologies Conference, ZINC 2022";NA;NA;"2022-01-01";"2022";"10.1109/ZINC55034.2022.9840736";NA;"Nowadays, it is difficult to determine the veracity of the information obtained. Communication takes place through websites, discussions, social networks, and the like. Using various anti-social behavior tips, such as fake news, their disseminates want to gain various benefits or convince the recipient of 'their truth.' The theoretical part of the work is focused on different approaches to the detection of antisocial behavior. In the experimental part of this work, we will deal with the analysis of the statuses of opinion-forming dailies in the Slovak language, which we obtained from the social network Facebook. NLP message analysis is not accurate enough, and we create an algorithm that is better identifies POS tags.";0;"Conference Proceeding";"cp";"Conference Paper";100;2;2;"antisocial behavior | NLP | POS tagging";NA;21101102144;NA;"313012S803";NA;0;FALSE;NA;NA;"220-223";NA;NA;2022
"120";120;120;"true";"https://api.elsevier.com/content/abstract/scopus_id/85136399594";"SCOPUS_ID:85136399594";"2-s2.0-85136399594";"Improving Organizational Pattern Comprehensibility by Varying Their Form and Relationships";"Frt'ala T.";"2022 IEEE Zooming Innovation in Consumer Technologies Conference, ZINC 2022";NA;NA;"2022-01-01";"2022";"10.1109/ZINC55034.2022.9840528";NA;"Based on various contexts, one can find that an organizational pattern can fit diversely in use. This is due to their naturally generalized written descriptions that allow flexible application and minor adjustments. In this study, we examine multiple ways of perceived organizational patterns variants that can be present not only as text differences but also as manners of applying them. We created a supporting tool in the form of a web portal that provides the possibility to track, manage, and depict organizational patterns, pattern languages, and their variants. The separate module recorded participants' interactions with the web portal as statistics. From the gathered statistics, we evaluated how and where the pattern variants emerge and form. The presented results show that some pattern elements are prone to produce more pattern variants than others besides pattern forms. The created web portal can serve as a community hub around organizational patterns.";0;"Conference Proceeding";"cp";"Conference Paper";100;2;2;"agile software development | natural language processing | organizational patterns | variation";NA;21101102144;"VEGA";"313012S803";"Vedecká Grantová Agentúra MŠVVaŠ SR a SAV";0;FALSE;NA;NA;"134-139";NA;NA;2022
"121";121;121;"true";"https://api.elsevier.com/content/abstract/scopus_id/85135238169";"SCOPUS_ID:85135238169";"2-s2.0-85135238169";"Content Analysis of Seafood E-commerce Sites Using a Text Mining Approach: A Case Study of Japan";"Taka T.";"Journal of International Food and Agribusiness Marketing";"08974438";NA;"2022-01-01";"2022";"10.1080/08974438.2022.2104416";NA;"Matching the values of e-commerce sites and consumers is an effective way to expand online seafood sales. However, research that analyzed seafood e-commerce site data is scarce. This study explores these services to demonstrate how online seafood sales can be promoted. Data were obtained from the text of Japanese seafood e-commerce sites’ business introduction pages. Morphological, frequency, and co-occurrence network analyses were performed. Key aspects of the services were identified (safe and high-quality, direct delivery, fresh and delicious, and thoughtfulness); however, individual consumer needs are not currently reflected. Further analyses on platform-type sites are required to expand seafood Internet sales.";0;"Journal";"ar";"Article";100;1;1;"E-commerce | marketing | seafood | text mining";NA;40720;NA;"undefined";NA;0;FALSE;"15286983";NA;NA;NA;NA;2022
"122";122;122;"true";"https://api.elsevier.com/content/abstract/scopus_id/85133398609";"SCOPUS_ID:85133398609";"2-s2.0-85133398609";"The Effects of Conversational Agents’ Emotion Cues on Their Perceived Responsiveness and Consumers’ Intention to Act: An Abstract";"Sidlauskiene J.";"Developments in Marketing Science: Proceedings of the Academy of Marketing Science";"23636165";NA;"2022-01-01";"2022";"10.1007/978-3-030-95346-1_123";NA;"Conversational agents allow products and services to be sold through real-time one-on-one conversations. However, consumers tend to engage with humans and resist conversational agents. Further, conversation abandonment without leaving personal information (e.g., email) leaves marketers without the ability to re-engage with potential customers. Drawing on the Social Information Processing theory and Affect-as-Information model, this study investigates how emotion cues: a higher positive tone from the conversational agent and emojis influence (1) the agent’s responsiveness perception, and (2) consumers’ intention to disclose personally-identifying information (email) to the agent retailer. The research uses a computerized text analysis of the chat scenarios and a 2 (low vs higher emotional tone) × 2 (emoji use vs. no emoji use) between-subjects experimental design. This research focuses on the effect of emotional tone and emoji use on the conversational agent’s perceived responsiveness and consumers’ intention to disclose their personal information to the agent in a text-based conversational commerce context. When the conversational agent’s emotional tone was higher, it was perceived as being more responsive. However, the effect of emoji use on the perception of agents’ responsiveness was not significant. Finally, the present research found that the effect of higher emotional tone, emoji use, and the interaction term was significant for consumers’ intention to disclose their email to the agent retailer. This study provides several managerial implications; although emoji use did not result in higher perceived responsiveness, emojis and higher emotional tone can be used to promote email disclosure to the agent retailers and thus enable marketers to collect valuable consumer data. Further, an emotional tone can benefit a conversational website, particularly one in need of incorporating customers’ personal information to provide personalized products. The findings contribute to the growing research stream on integrating emotion cues into conversational agents and their impact on consumers’ perceptions and personal information disclosure.";0;"Book Series";"ch";"Book Chapter";100;1;1;"Conversational agents | Conversational selling | Emojis | Emotional tone | Information disclosure | Non-verbal cues | Perceived responsiveness | Personalization";NA;21101077266;NA;"undefined";NA;0;FALSE;"23636173";NA;"387-388";NA;NA;2022
"123";123;123;"true";"https://api.elsevier.com/content/abstract/scopus_id/85133398439";"SCOPUS_ID:85133398439";"2-s2.0-85133398439";"Applying Phrase-Level Text Analysis to Measure Brand-Related Information Disclosure: An Abstract";"Tang Q.";"Developments in Marketing Science: Proceedings of the Academy of Marketing Science";"23636165";NA;"2022-01-01";"2022";"10.1007/978-3-030-95346-1_67";NA;"Financial reporting and disclosure are important means for management to communicate firm performance and governance to external stakeholders. Existing research provides limited insight into firms’ disclosure of information about their market-based assets such as brands, although brand is an important part of firms’ value proposition. Our research intends to address this research gap through (1) a theory-based conceptualization of brand-related information (BRI) and (2) an empirical analysis of BRI disclosure in corporate reports, more specifically, in US firms’ annual reports on Form 10-K. We incorporate automated text analysis to identify and measure BRI disclosure in 10-K reports. Automated text analysis allows us to process massive amounts of text efficiently and reliably. Extant studies using automated text analysis are primarily rely on word-level analysis, yet most concepts entail multiword terms or phrases to convey meaning. We address this limitation of existing methods by applying phrase-level analysis to BRI disclosure. First, we draw on the literature on customer-based brand equity and intellectual capital disclosure to develop the conceptualization of BRI. Building on this conceptualization, we explore the capacity of natural language processing to build a phrase-level BRI coding dictionary. Second, we use automated text analysis to construct a BRI disclosure index that captures the BRI disclosure level in firms’ 10-K reports. Unlike prior studies that focus on word-level analysis for construct measurement, our method utilizes proximity search to match phrases in the BRI coding dictionary with texts and incorporate a proximity-weighing mechanism to conduct a phrase-level analysis of BRI disclosures. The contribution of this study is twofold. First, this study fills the research gap in the field of information disclosure concerning BRI by conceptualizing a BRI framework and providing evidence on whether and how firms disclose BRI in financial reporting. Second, our method broadens the possibility of utilizing automated text analysis in constructing research-specific coding dictionaries as well as conducting phrase-level text analysis. While current research has made some efforts to provide a structured process for phrase-level text analysis, there is limited guidance regarding the operationalization of phrase match with proximity search.";0;"Book Series";"ch";"Book Chapter";100;4;4;"Automated text analysis | Brand-related information | Information disclosure | Natural language processing | Phrase-level analysis";NA;21101077266;NA;"undefined";NA;0;FALSE;"23636173";NA;"193-194";NA;NA;2022
"124";124;124;"true";"https://api.elsevier.com/content/abstract/scopus_id/85133393531";"SCOPUS_ID:85133393531";"2-s2.0-85133393531";"An Artificial Intelligence Method for the Analysis of Marketing Scientific Literature: An Abstract";"Hyder A.";"Developments in Marketing Science: Proceedings of the Academy of Marketing Science";"23636165";NA;"2022-01-01";"2022";"10.1007/978-3-030-95346-1_97";NA;"We suggest a machine-based research literature reading method specific to the academic discipline of marketing, adopting artificial intelligence (AI) developments from the field of materials science. Keeping up with research publications is untenable due to exponential growth. Researchers have become much better at the generation of information than at its deployment. AI can help to simplify the use of such knowledge. In materials science, Tshitoyan et al. (2019) have made steps in trying to achieve ‘a generalized approach to the mining of scientific literature’ using text mining and natural language processing. Using AI, research can be extracted from documents, classified, tokenised in individual words, and encoded as information-dense word embeddings, which are vector representations of words, without human supervision (Tshitoyan et al. 2019). Building on these developments we suggest a methodology specific to marketing science. The first step is to compile consolidated bodies of offline marketing research on topics such as branding, retail or advertising following Tshitoyan et al. (2019) method of knowledge extraction and relationships for the handling of large bodies of scientific literature. For this we shall use CrossRef Application Programming Interface (API) for the retrieval of large lists of article Digital Object Identifiers (DOIs). This is used by a number of publisher APIs, such as Elsevier https://dev.elsevier.com and Springer Nature https://dev.springernature.com to download full-text journal articles. Secondly, the embeddings will be trained with the scientific abstracts from each of the topics. For this we shall use article abstracts from 1975 to 2021 from more than a thousand journals and also articles likely to contain marketing-related research directly retrieved from the aforementioned databases (i.e. Elsevier and Science Direct) combined with web scraping. The performance of the algorithm is deemed to improve when irrelevant abstracts are removed. The remaining abstracts will then be classified as relevant and tokenised using ChemDataExtractor (Swain and Cole 2016). Correct pre-processing, especially the choice of phrases to be included as individual tokens should improve the results. In the third and final step, we shall repeat the first two steps integrating offline topics with the equivalent online topics, e.g. online branding. As AI is also capable of predictive writing using bidirectional encoders BERT and ELMo used to produce contextual word embeddings (Devlin et al. 2018), our work in progress will consider developing automated hypotheses formulation in marketing science (Spangler et al. 2014). Simplification of knowledge could also facilitate its transfer to practice.";0;"Book Series";"ch";"Book Chapter";100;2;2;"Artificial intelligence | Machine learning | Marketing science | Natural language processing | Text mining";NA;21101077266;NA;"undefined";NA;0;FALSE;"23636173";NA;"299-300";NA;NA;2022
"125";125;125;"true";"https://api.elsevier.com/content/abstract/scopus_id/85133374264";"SCOPUS_ID:85133374264";"2-s2.0-85133374264";"Opportunities and Challenges Facing AI Voice-Based Assistants: Consumer Perceptions and Technology Realities: An Abstract";"Marriott H.R.";"Developments in Marketing Science: Proceedings of the Academy of Marketing Science";"23636165";NA;"2022-01-01";"2022";"10.1007/978-3-030-95346-1_35";NA;"Where AI has become especially pivotal for users’ interactions is in the case of voice-based assistants (VAs), such as Apple’s Siri and Amazon’s Alexa. From what is initially perceived as being a tool to play music, read out news reports and set timers, VAs have developed considerably in recent years and their functionality goes way beyond initial perceptions. For example, Amazon Alexa will be able to give out health advice to users in the United Kingdom as health-related questions will be automatically searched for using the official NHS website (MIT Technology Review, 2020). Some reports go as far to discuss how Amazon has plans to be able to run someone’s entire life from the Alexa on the basis that the systems are getting so sophisticated and the data being collected is so vast that the Alexa will be capable of predicting needs (Hao, 2019). Nevertheless, users still appear to be resistant to use VAs, with some even reluctant to engage with this technology entirely (PwC, 2018). Most of these constraints to VA adoption primarily relate to lack of trust, perceived data privacy and security concerns and lack of knowledge or understanding. Despite the benefits and opportunities of AI software, it is inherently limited by capabilities surrounding planning, reasoning, knowledge, natural language processing, ability to move and to empathise. It is this lack of emotional connection that is a fundamental component of users being less trusting towards AI voice-based assistants. This research investigates the role of emerging capabilities, privacy concerns and trust towards VAs using a mixed-methodology design. Results from the qualitative element of the study reveal that it is more about trusting the capabilities and functionalities than being scared over personal data. This theme will subsequently be examined further in a follow-up experimental study to examine the role of context towards these perceptions. The focus of the experimental design will subsequently consider the direct relationship between perceived behavioural control and intention to continue to use VAs with consideration into the indirect effects of privacy concerns and trust and the moderating role of perceived capabilities. The findings, thus far, show how VAs, as new technologies and leaders of machine learning capabilities, can enhance customer experiences, improve customer relationships and add value to firms. As privacy concerns are often dismissed, if customers benefit from the sharing of their information, yet their capabilities being under-appreciated, firms can focus attention to the high-quality functions of these devices to encourage their more frequent use.";0;"Book Series";"ch";"Book Chapter";100;2;2;"Artificial intelligence | Privacy | Trust | Voice based assistants";NA;21101077266;NA;"undefined";NA;0;FALSE;"23636173";NA;"81-82";NA;NA;2022
